policy,mean_gain,P_improve,P_material
latent_EI,0.18566923424259532,0.9411764705882353,0.9411764705882353
P_beat,0.16141579031286324,1.0,1.0
UCB,0.15057779135759386,0.7647058823529411,0.7647058823529411
observable_EI,0.14488860442975723,0.8823529411764706,0.8823529411764706
maximin,0.07491829004085447,0.29411764705882354,0.29411764705882354
thompson,0.0653870393036305,0.47058823529411764,0.4117647058823529
exploit,0.05892089794910564,1.0,0.7058823529411765
random,0.006679418056479987,0.11764705882352941,0.058823529411764705
