policy,kshape,ls,amp,weeks,gain
LCB,iso,0.25,0.5,1,0.0
latent_EI,iso,0.25,0.5,1,0.0
thompson,iso,0.25,0.5,1,0.0
exploit,iso,0.25,0.5,1,0.0
maximin,iso,0.25,0.5,1,0.0
random,iso,0.25,0.5,1,0.0
observable_EI,iso,0.25,0.5,1,0.0
P_beat,iso,0.25,0.5,1,0.0
LCB,iso,0.25,0.5,1,0.0
latent_EI,iso,0.25,0.5,1,0.0
thompson,iso,0.25,0.5,1,0.0
exploit,iso,0.25,0.5,1,0.0
maximin,iso,0.25,0.5,1,0.0
random,iso,0.25,0.5,1,0.0
observable_EI,iso,0.25,0.5,1,0.0
P_beat,iso,0.25,0.5,1,0.0
LCB,iso,0.25,0.5,1,0.0
latent_EI,iso,0.25,0.5,1,0.0
thompson,iso,0.25,0.5,1,0.0
exploit,iso,0.25,0.5,1,0.0
maximin,iso,0.25,0.5,1,0.0
random,iso,0.25,0.5,1,0.0
observable_EI,iso,0.25,1.0,1,0.0
P_beat,iso,0.25,1.0,1,0.0
LCB,iso,0.25,1.0,1,0.0
latent_EI,iso,0.25,1.0,1,0.0
thompson,iso,0.25,1.0,1,0.0
exploit,iso,0.25,1.0,1,0.0
maximin,iso,0.25,1.0,1,0.0
random,iso,0.25,1.0,1,0.0
observable_EI,iso,0.25,1.0,1,0.0
P_beat,iso,0.25,1.0,1,0.0
LCB,iso,0.25,1.0,1,0.0
latent_EI,iso,0.25,1.0,1,0.0
thompson,iso,0.25,1.0,1,0.0
exploit,iso,0.25,1.0,1,0.0
maximin,iso,0.25,1.0,1,0.0
random,iso,0.25,1.0,1,0.0
observable_EI,iso,0.25,1.0,1,0.0
P_beat,iso,0.25,1.0,1,0.0
LCB,iso,0.25,1.0,1,0.0
latent_EI,iso,0.25,1.0,1,0.0
thompson,iso,0.25,1.0,1,0.0
exploit,iso,0.25,1.0,1,0.0
maximin,iso,0.25,1.0,1,0.0
random,iso,0.25,1.0,1,0.0001323011060286796
observable_EI,iso,0.25,2.0,1,7.910822533163767e-05
P_beat,iso,0.25,2.0,1,0.0
LCB,iso,0.25,2.0,1,0.00011900063029193238
latent_EI,iso,0.25,2.0,1,6.772613100932182e-05
thompson,iso,0.25,2.0,1,0.0
exploit,iso,0.25,2.0,1,0.0
maximin,iso,0.25,2.0,1,0.0003177985807698043
random,iso,0.25,2.0,1,0.0
observable_EI,iso,0.25,2.0,1,0.0
P_beat,iso,0.25,2.0,1,0.0
LCB,iso,0.25,2.0,1,0.0
latent_EI,iso,0.25,2.0,1,0.0
thompson,iso,0.25,2.0,1,0.0
exploit,iso,0.25,2.0,1,0.0
maximin,iso,0.25,2.0,1,0.0
random,iso,0.25,2.0,1,0.0
observable_EI,iso,0.25,2.0,1,0.0
P_beat,iso,0.25,2.0,1,0.0
LCB,iso,0.25,2.0,1,0.0
latent_EI,iso,0.25,2.0,1,0.0
thompson,iso,0.25,2.0,1,0.0
exploit,iso,0.25,2.0,1,0.0
maximin,iso,0.25,2.0,1,0.0
random,iso,0.25,2.0,1,0.0
observable_EI,iso,0.4,0.5,1,0.0
P_beat,iso,0.4,0.5,1,0.0
LCB,iso,0.4,0.5,1,0.0
latent_EI,iso,0.4,0.5,1,0.0
thompson,iso,0.4,0.5,1,0.0
exploit,iso,0.4,0.5,1,0.0
maximin,iso,0.4,0.5,1,0.0
random,iso,0.4,0.5,1,0.0
observable_EI,iso,0.4,0.5,1,0.00024350991364207927
P_beat,iso,0.4,0.5,1,0.00034286250165577284
LCB,iso,0.4,0.5,1,0.0002954188722001748
latent_EI,iso,0.4,0.5,1,0.00022219984446643256
thompson,iso,0.4,0.5,1,0.0
exploit,iso,0.4,0.5,1,0.0
maximin,iso,0.4,0.5,1,0.0
random,iso,0.4,0.5,1,0.0
