cut,n_fit,x1,actual,pred,period,peak_x1,peak_y,err
0.8,20,0.8777909889953304,0.4205862396279826,0.41333656163254084,0.28651095791972575,0.9855,0.9158446825558582,0.007249677995441739
0.8,20,0.8452754286767249,0.293992912410866,0.2756120765680093,0.28651095791972575,0.9855,0.9158446825558582,0.018380835842856713
0.8,20,0.975,0.1885215205350357,0.9091014495869054,0.28651095791972575,0.9855,0.9158446825558582,-0.7205799290518697
0.76,20,0.8777909889953304,0.4205862396279826,0.41333656163254084,0.28651095791972575,0.9855,0.9158446825558582,0.007249677995441739
0.76,20,0.8452754286767249,0.293992912410866,0.2756120765680093,0.28651095791972575,0.9855,0.9158446825558582,0.018380835842856713
0.76,20,0.975,0.1885215205350357,0.9091014495869054,0.28651095791972575,0.9855,0.9158446825558582,-0.7205799290518697
0.74,19,0.8777909889953304,0.4205862396279826,0.4094678733417073,0.28981482044186285,0.9945,0.9291589279138304,0.011118366286275272
0.74,19,0.8452754286767249,0.293992912410866,0.29710676496173916,0.28981482044186285,0.9945,0.9291589279138304,-0.003113852550873153
0.74,19,0.75,0.4283029849800824,0.5079287317086477,0.28981482044186285,0.9945,0.9291589279138304,-0.07962574672856532
0.74,19,0.975,0.1885215205350357,0.9085404273591191,0.28981482044186285,0.9945,0.9291589279138304,-0.7200189068240834
0.7,12,0.8777909889953304,0.4205862396279826,0.429959136774958,0.283921613519186,0.9805,0.8782573338024773,-0.009372897146975423
0.7,12,0.8452754286767249,0.293992912410866,0.2879196919580751,0.283921613519186,0.9805,0.8782573338024773,0.006073220452790906
0.7,12,0.7026365569244406,0.6112052157614438,0.5716932748227206,0.283921613519186,0.9805,0.8782573338024773,0.03951194093872323
0.7,12,0.75,0.4283029849800824,0.4458024204132719,0.283921613519186,0.9805,0.8782573338024773,-0.017499435433189492
0.7,12,0.702637,0.55799378609265,0.5716929917974999,0.283921613519186,0.9805,0.8782573338024773,-0.013699205704849837
0.7,12,0.715,0.5844899716139724,0.5559125924699932,0.283921613519186,0.9805,0.8782573338024773,0.028577379143979176
0.7,12,0.722222,0.5907622118922196,0.5399710979507145,0.283921613519186,0.9805,0.8782573338024773,0.05079111394150504
0.7,12,0.71,0.6152755714390394,0.5641441738661019,0.283921613519186,0.9805,0.8782573338024773,0.0511313975729375
0.7,12,0.975,0.1885215205350357,0.8764262673057811,0.283921613519186,0.9805,0.8782573338024773,-0.6879047467707454
0.7,12,0.700034,0.6440178850702927,0.5729900437836637,0.283921613519186,0.9805,0.8782573338024773,0.07102784128662898
0.7,12,0.702,0.6447625039123586,0.572078108958299,0.283921613519186,0.9805,0.8782573338024773,0.07268439495405954
