form,k,rmse,loo,aicc,period,peak_x1,peak_y,dAICc
"quadratic + sine, growing amp",8,0.057331141723934165,0.18655253078770648,-99.66376675023267,0.2849517146113191,0.687,0.584856237839062,0.0
quadratic + sine,6,0.07740639015985958,0.21987439417204935,-96.23288664644838,0.2053999773514085,0.7005,0.5983518031743307,3.4308801037842898
"linear + sine, growing amp",7,0.0737815655305653,0.20661481400147258,-93.6200186485902,0.2085358548682239,0.9135,0.8317221235823429,6.043748101642464
linear + sine,5,0.09890983514110445,0.2306373595599821,-89.17314359946543,0.21976863613779596,0.9175,0.6738776675630985,10.490623150767235
cubic (control),4,0.10899208439405228,0.12919253963801203,-88.42866913818317,,0.7465,0.5485771074296135,11.2350976120495
sine only,4,0.10917814393232571,0.18813544743076663,-88.35020984608677,1.0368292586104928,0.7155,0.539923258051928,11.313556904145898
trend only,2,0.180500798072432,0.2009815698906746,-71.48976577445589,,1.0,0.6866953500704037,28.174000975776778
