policy,mean_gain,P_improve,P_material
LCB,3.324589606597844e-05,0.14444444444444443,0.0
P_beat,2.2901222119619955e-05,0.08888888888888889,0.0
random,2.2383795739993198e-05,0.07777777777777778,0.0
latent_EI,1.9265809548872494e-05,0.12222222222222222,0.0
maximin,1.741967336840507e-05,0.06666666666666667,0.0
observable_EI,1.7115812987546846e-05,0.07777777777777778,0.0
exploit,9.149450018971181e-06,0.044444444444444446,0.0
thompson,3.643244793542343e-06,0.044444444444444446,0.0
